label,spans,avg_chars,min_chars,median_chars,max_chars
private_person,1992,3.18,1,3.0,21
private_date,634,9.76,3,10.0,13
private_phone,561,11.88,10,12.0,18
private_email,461,24.86,17,24.0,46
account_number,460,14.2,4,15.0,19
private_address,443,18.05,11,18.0,91
secret,341,14.41,3,10.0,159
tw_license_plate,318,7.97,7,8.0,8
tw_line_id,312,13.62,7,13.0,35
tw_national_id,304,10.0,10,10.0,10
private_url,282,46.17,21,44.5,84
tw_company_id,276,8.0,8,8.0,8
tw_medical_license,240,10.14,6,10.0,15
tw_household_no,233,8.54,8,8.0,12
tw_ptt_id,227,11.52,7,11.0,18
tw_nhi_card,225,12.0,12,12.0,12
tw_military_id,213,9.92,7,10.0,13
tw_passport,211,9.0,9,9.0,9
tw_driver_license,182,10.0,10,10.0,10
